time,am_pm,month_day,months,year,usage_kWh,date,day_of_week
01,AM,1st,Jan,2014,0.34,2014-01-01,Wednesday
02,AM,01,Jan,2014,0.332,2014-01-01,Wednesday
03,AM,01,Jan,2014,0.396,2014-01-01,Wednesday
04,AM,01,Jan,2014,0.388,2014-01-01,Wednesday
05,AM,01st,Jan,2014,2.354,2014-01-01,Wednesday
06,AM,01,Jan,2014,2.304,2014-01-01,Wednesday
07,AM,1st,Jan,2014,1.53,2014-01-01,Wednesday
08,AM,1st,Jan,2014,0.656,2014-01-01,Wednesday
09,AM,01st,Jan,2014,0.51,2014-01-01,Wednesday
10,AM,1st,Jan,2014,0.952,2014-01-01,Wednesday
11,AM,1st,Jan,2014,0.83,2014-01-01,Wednesday
12,AM,1st,Jan,2014,0.684,2014-01-01,Wednesday
01,PM,01st,Jan,2014,0.784,2014-01-01,Wednesday
02,PM,01,Jan,2014,0.872,2014-01-01,Wednesday
03,PM,01,Jan,2014,0.72,2014-01-01,Wednesday
04,PM,1st,Jan,2014,0.936,2014-01-01,Wednesday
05,PM,01,Jan,2014,2.548,2014-01-01,Wednesday
06,PM,01,Jan,2014,2.856,2014-01-01,Wednesday
07,PM,01,Jan,2014,4.248,2014-01-01,Wednesday
08,PM,01,Jan,2014,3.20,2014-01-01,Wednesday
09,PM,01,Jan,2014,1.404,2014-01-01,Wednesday
10,PM,1st,Jan,2014,1.20,2014-01-01,Wednesday
11,PM,1st,Jan,2014,1.13,2014-01-01,Wednesday
12,PM,01,Jan,2014,0.80,2014-01-01,Wednesday
01,AM,02,Jan,2014,0.472,2014-01-02,Thursday
02,AM,02,Jan,2014,0.348,2014-01-02,Thursday
03,AM,02,Jan,2014,0.464,2014-01-02,Thursday
04,AM,02nd,Jan,2014,0.456,2014-01-02,Thursday
05,AM,02,Jan,2014,1.892,2014-01-02,Thursday
06,AM,02nd,Jan,2014,2.256,2014-01-02,Thursday
07,AM,02,Jan,2014,1.458,2014-01-02,Thursday
08,AM,2nd,Jan,2014,0.712,2014-01-02,Thursday
09,AM,02nd,Jan,2014,0.678,2014-01-02,Thursday
10,AM,02,Jan,2014,0.848,2014-01-02,Thursday
11,AM,02,Jan,2014,0.91,2014-01-02,Thursday
12,AM,2nd,Jan,2014,0.69,2014-01-02,Thursday
01,PM,02,Jan,2014,0.664,2014-01-02,Thursday
02,PM,2nd,Jan,2014,0.88,2014-01-02,Thursday
03,PM,2nd,Jan,2014,0.896,2014-01-02,Thursday
04,PM,02,Jan,2014,0.712,2014-01-02,Thursday
05,PM,02,Jan,2014,2.756,2014-01-02,Thursday
06,PM,02nd,Jan,2014,2.352,2014-01-02,Thursday
07,PM,02,Jan,2014,4.14,2014-01-02,Thursday
08,PM,2nd,Jan,2014,2.688,2014-01-02,Thursday
09,PM,02,Jan,2014,1.368,2014-01-02,Thursday
10,PM,02,Jan,2014,0.90,2014-01-02,Thursday
11,PM,2nd,Jan,2014,1.07,2014-01-02,Thursday
12,PM,02nd,Jan,2014,0.84,2014-01-02,Thursday
01,AM,03,Jan,2014,0.448,2014-01-03,Friday
02,AM,3rd,Jan,2014,0.324,2014-01-03,Friday
03,AM,03,Jan,2014,0.472,2014-01-03,Friday
04,AM,3rd,Jan,2014,0.416,2014-01-03,Friday
05,AM,03rd,Jan,2014,2.288,2014-01-03,Friday
06,AM,3rd,Jan,2014,2.112,2014-01-03,Friday
07,AM,03,Jan,2014,1.80,2014-01-03,Friday
08,AM,3rd,Jan,2014,0.768,2014-01-03,Friday
09,AM,03,Jan,2014,0.558,2014-01-03,Friday
10,AM,03,Jan,2014,0.816,2014-01-03,Friday
11,AM,03,Jan,2014,1.16,2014-01-03,Friday
12,AM,03,Jan,2014,0.564,2014-01-03,Friday
01,PM,03rd,Jan,2014,0.88,2014-01-03,Friday
02,PM,3rd,Jan,2014,0.888,2014-01-03,Friday
03,PM,03rd,Jan,2014,0.672,2014-01-03,Friday
04,PM,03,Jan,2014,0.888,2014-01-03,Friday
05,PM,03,Jan,2014,3.068,2014-01-03,Friday
06,PM,3rd,Jan,2014,2.352,2014-01-03,Friday
07,PM,3rd,Jan,2014,3.42,2014-01-03,Friday
08,PM,03,Jan,2014,2.624,2014-01-03,Friday
09,PM,03,Jan,2014,0.712,2014-01-03,Friday
10,PM,03rd,Jan,2014,1.302,2014-01-03,Friday
11,PM,3rd,Jan,2014,2.02,2014-01-03,Friday
12,PM,03,Jan,2014,1.16,2014-01-03,Friday
01,AM,4th,Jan,2014,0.612,2014-01-04,Saturday
02,AM,04,Jan,2014,0.612,2014-01-04,Saturday
03,AM,04,Jan,2014,0.558,2014-01-04,Saturday
04,AM,4th,Jan,2014,0.51,2014-01-04,Saturday
05,AM,04,Jan,2014,0.51,2014-01-04,Saturday
06,AM,04,Jan,2014,1.696,2014-01-04,Saturday
07,AM,4th,Jan,2014,1.944,2014-01-04,Saturday
08,AM,4th,Jan,2014,3.016,2014-01-04,Saturday
09,AM,4th,Jan,2014,1.782,2014-01-04,Saturday
10,AM,04th,Jan,2014,1.26,2014-01-04,Saturday
11,AM,04,Jan,2014,1.224,2014-01-04,Saturday
12,AM,4th,Jan,2014,1.856,2014-01-04,Saturday
01,PM,4th,Jan,2014,1.14,2014-01-04,Saturday
02,PM,04,Jan,2014,1.776,2014-01-04,Saturday
03,PM,04,Jan,2014,1.89,2014-01-04,Saturday
04,PM,04,Jan,2014,2.106,2014-01-04,Saturday
05,PM,04,Jan,2014,1.53,2014-01-04,Saturday
06,PM,4th,Jan,2014,3.96,2014-01-04,Saturday
